"Treatment_A","Treatment_B"
"Raffinose_F","Sucrose_F"
"Raffinose_F","Maltose_F"
"Raffinose_F","Raffinose_F"
"Raffinose_F","Inulin"
"Raffinose_F","Sucrose"
"Raffinose_F","Raffinose"
"Raffinose_F","Melibiose"
"Raffinose_F","Maltose"
"Raffinose_F","Melezitose"
"Raffinose_F","Methyl-?-D-glucoside"
"Raffinose_F","DL-Lactate"
"Raffinose_F","Vitamin-free"
"Raffinose_F","Growth at 30°C"
"Trehalose_F","Glucose_F"
"Trehalose_F","Galactose_F"
"Trehalose_F","Sucrose_F"
"Trehalose_F","Maltose_F"
"Trehalose_F","Lactose_F"
"Trehalose_F","Trehalose_F"
"Trehalose_F","Sucrose"
"Trehalose_F","Galactose"
"Trehalose_F","Lactose"
"Trehalose_F","Trehalose"
"Trehalose_F","Maltose"
"Trehalose_F","Melezitose"
"Trehalose_F","Methyl-?-D-glucoside"
"Trehalose_F","Cellobiose"
"Trehalose_F","Salicin"
"Trehalose_F","L-Sorbose"
"Trehalose_F","L-Rhamnose"
"Trehalose_F","D-Xylose"
"Trehalose_F","L-Arabinose"
"Trehalose_F","D-Arabinose"
"Trehalose_F","D-Ribose"
"Trehalose_F","Ethanol"
"Trehalose_F","Glycerol"
"Trehalose_F","Erythritol"
"Trehalose_F","Ribitol"
"Trehalose_F","Galactitol"
"Trehalose_F","D-Mannitol"
"Trehalose_F","D-Glucitol"
"Trehalose_F","Succinate"
"Trehalose_F","Citrate"
"Trehalose_F","D-Gluconate"
"Trehalose_F","D-Glucosamine"
"Trehalose_F","2-Keto-D-gluconate"
"Trehalose_F","Growth at 25°C"
"Trehalose_F","Growth at 30°C"
"Inulin","Sucrose_F"
"Inulin","Raffinose_F"
"Inulin","Inulin"
"Inulin","Sucrose"
"Inulin","Raffinose"
"Inulin","Melibiose"
"Inulin","Lactose"
"Inulin","Trehalose"
"Inulin","Maltose"
"Inulin","Melezitose"
"Inulin","Methyl-?-D-glucoside"
"Inulin","Soluble Starch"
"Inulin","Cellobiose"
"Inulin","L-Arabinose"
"Inulin","D-Arabinose"
"Inulin","Galactitol"
"Inulin","D-Mannitol"
"Inulin","myo-Inositol"
"Inulin","Nitrate"
"Inulin","Vitamin-free"
"Inulin","2-Keto-D-gluconate"
"Inulin","Starch formation"
"Sucrose","Glucose_F"
"Sucrose","Galactose_F"
"Sucrose","Sucrose_F"
"Sucrose","Maltose_F"
"Sucrose","Raffinose_F"
"Sucrose","Trehalose_F"
"Sucrose","Inulin"
"Sucrose","Sucrose"
"Sucrose","Raffinose"
"Sucrose","Melibiose"
"Sucrose","Galactose"
"Sucrose","Lactose"
"Sucrose","Trehalose"
"Sucrose","Maltose"
"Sucrose","Melezitose"
"Sucrose","Methyl-?-D-glucoside"
"Sucrose","Soluble Starch"
"Sucrose","Cellobiose"
"Sucrose","Salicin"
"Sucrose","L-Sorbose"
"Sucrose","L-Rhamnose"
"Sucrose","D-Xylose"
"Sucrose","L-Arabinose"
"Sucrose","D-Arabinose"
"Sucrose","D-Ribose"
"Sucrose","Glycerol"
"Sucrose","Ribitol"
"Sucrose","Galactitol"
"Sucrose","D-Mannitol"
"Sucrose","D-Glucitol"
"Sucrose","myo-Inositol"
"Sucrose","Succinate"
"Sucrose","Citrate"
"Sucrose","D-Gluconate"
"Sucrose","D-Glucosamine"
"Sucrose","2-Keto-D-gluconate"
"Sucrose","Starch formation"
"Raffinose","Galactose_F"
"Raffinose","Sucrose_F"
"Raffinose","Maltose_F"
"Raffinose","Raffinose_F"
"Raffinose","Inulin"
"Raffinose","Sucrose"
"Raffinose","Raffinose"
"Raffinose","Melibiose"
"Raffinose","Galactose"
"Raffinose","Lactose"
"Raffinose","Trehalose"
"Raffinose","Maltose"
"Raffinose","Melezitose"
"Raffinose","Methyl-?-D-glucoside"
"Raffinose","Soluble Starch"
"Raffinose","Cellobiose"
"Raffinose","Salicin"
"Raffinose","L-Arabinose"
"Raffinose","D-Arabinose"
"Raffinose","Galactitol"
"Raffinose","D-Mannitol"
"Raffinose","myo-Inositol"
"Raffinose","D-Gluconate"
"Raffinose","Nitrate"
"Raffinose","Vitamin-free"
"Raffinose","2-Keto-D-gluconate"
"Raffinose","Starch formation"
"Melibiose","Galactose_F"
"Melibiose","Sucrose_F"
"Melibiose","Maltose_F"
"Melibiose","Raffinose_F"
"Melibiose","Inulin"
"Melibiose","Sucrose"
"Melibiose","Raffinose"
"Melibiose","Melibiose"
"Melibiose","Galactose"
"Melibiose","Lactose"
"Melibiose","Trehalose"
"Melibiose","Maltose"
"Melibiose","Melezitose"
"Melibiose","Methyl-?-D-glucoside"
"Melibiose","Soluble Starch"
"Melibiose","Cellobiose"
"Melibiose","Salicin"
"Melibiose","L-Sorbose"
"Melibiose","L-Rhamnose"
"Melibiose","D-Xylose"
"Melibiose","L-Arabinose"
"Melibiose","D-Arabinose"
"Melibiose","D-Ribose"
"Melibiose","Ethanol"
"Melibiose","Erythritol"
"Melibiose","Ribitol"
"Melibiose","Galactitol"
"Melibiose","D-Mannitol"
"Melibiose","D-Glucitol"
"Melibiose","myo-Inositol"
"Melibiose","D-Gluconate"
"Melibiose","D-Glucosamine"
"Melibiose","Vitamin-free"
"Melibiose","2-Keto-D-gluconate"
"Galactose","Galactose_F"
"Galactose","Sucrose_F"
"Galactose","Maltose_F"
"Galactose","Lactose_F"
"Galactose","Trehalose_F"
"Galactose","Sucrose"
"Galactose","Raffinose"
"Galactose","Melibiose"
"Galactose","Galactose"
"Galactose","Lactose"
"Galactose","Trehalose"
"Galactose","Maltose"
"Galactose","Melezitose"
"Galactose","Methyl-?-D-glucoside"
"Galactose","Cellobiose"
"Galactose","Salicin"
"Galactose","L-Sorbose"
"Galactose","D-Xylose"
"Galactose","L-Arabinose"
"Galactose","D-Arabinose"
"Galactose","D-Ribose"
"Galactose","Ethanol"
"Galactose","Glycerol"
"Galactose","Erythritol"
"Galactose","Ribitol"
"Galactose","Galactitol"
"Galactose","D-Mannitol"
"Galactose","D-Glucitol"
"Galactose","myo-Inositol"
"Galactose","Citrate"
"Galactose","D-Gluconate"
"Galactose","D-Glucosamine"
"Galactose","2-Keto-D-gluconate"
"Galactose","Growth at 25°C"
"Lactose","Galactose_F"
"Lactose","Maltose_F"
"Lactose","Lactose_F"
"Lactose","Trehalose_F"
"Lactose","Inulin"
"Lactose","Sucrose"
"Lactose","Raffinose"
"Lactose","Melibiose"
"Lactose","Galactose"
"Lactose","Lactose"
"Lactose","Trehalose"
"Lactose","Maltose"
"Lactose","Melezitose"
"Lactose","Methyl-?-D-glucoside"
"Lactose","Soluble Starch"
"Lactose","Cellobiose"
"Lactose","Salicin"
"Lactose","L-Sorbose"
"Lactose","L-Rhamnose"
"Lactose","D-Xylose"
"Lactose","L-Arabinose"
"Lactose","D-Arabinose"
"Lactose","D-Ribose"
"Lactose","Ethanol"
"Lactose","Erythritol"
"Lactose","Ribitol"
"Lactose","Galactitol"
"Lactose","D-Mannitol"
"Lactose","D-Glucitol"
"Lactose","myo-Inositol"
"Lactose","Succinate"
"Lactose","Citrate"
"Lactose","D-Gluconate"
"Lactose","D-Glucosamine"
"Lactose","2-Keto-D-gluconate"
"Lactose","Starch formation"
"Trehalose","Glucose_F"
"Trehalose","Galactose_F"
"Trehalose","Sucrose_F"
"Trehalose","Maltose_F"
"Trehalose","Trehalose_F"
"Trehalose","Inulin"
"Trehalose","Sucrose"
"Trehalose","Raffinose"
"Trehalose","Melibiose"
"Trehalose","Galactose"
"Trehalose","Lactose"
"Trehalose","Trehalose"
"Trehalose","Maltose"
"Trehalose","Melezitose"
"Trehalose","Methyl-?-D-glucoside"
"Trehalose","Soluble Starch"
"Trehalose","Cellobiose"
"Trehalose","Salicin"
"Trehalose","L-Sorbose"
"Trehalose","L-Rhamnose"
"Trehalose","D-Xylose"
"Trehalose","L-Arabinose"
"Trehalose","D-Arabinose"
"Trehalose","D-Ribose"
"Trehalose","Methanol"
"Trehalose","Ethanol"
"Trehalose","Glycerol"
"Trehalose","Erythritol"
"Trehalose","Ribitol"
"Trehalose","Galactitol"
"Trehalose","D-Mannitol"
"Trehalose","D-Glucitol"
"Trehalose","myo-Inositol"
"Trehalose","Succinate"
"Trehalose","Citrate"
"Trehalose","D-Gluconate"
"Trehalose","D-Glucosamine"
"Trehalose","2-Keto-D-gluconate"
"Maltose","Glucose_F"
"Maltose","Galactose_F"
"Maltose","Sucrose_F"
"Maltose","Maltose_F"
"Maltose","Raffinose_F"
"Maltose","Trehalose_F"
"Maltose","Inulin"
"Maltose","Sucrose"
"Maltose","Raffinose"
"Maltose","Melibiose"
"Maltose","Galactose"
"Maltose","Lactose"
"Maltose","Trehalose"
"Maltose","Maltose"
"Maltose","Melezitose"
"Maltose","Methyl-?-D-glucoside"
"Maltose","Soluble Starch"
"Maltose","Cellobiose"
"Maltose","Salicin"
"Maltose","L-Sorbose"
"Maltose","L-Rhamnose"
"Maltose","D-Xylose"
"Maltose","L-Arabinose"
"Maltose","D-Arabinose"
"Maltose","D-Ribose"
"Maltose","Ethanol"
"Maltose","Glycerol"
"Maltose","Erythritol"
"Maltose","Ribitol"
"Maltose","Galactitol"
"Maltose","D-Mannitol"
"Maltose","D-Glucitol"
"Maltose","myo-Inositol"
"Maltose","Succinate"
"Maltose","Citrate"
"Maltose","D-Gluconate"
"Maltose","D-Glucosamine"
"Maltose","2-Keto-D-gluconate"
"Melezitose","Glucose_F"
"Melezitose","Galactose_F"
"Melezitose","Sucrose_F"
"Melezitose","Maltose_F"
"Melezitose","Raffinose_F"
"Melezitose","Trehalose_F"
"Melezitose","Inulin"
"Melezitose","Sucrose"
"Melezitose","Raffinose"
"Melezitose","Melibiose"
"Melezitose","Galactose"
"Melezitose","Lactose"
"Melezitose","Trehalose"
"Melezitose","Maltose"
"Melezitose","Melezitose"
"Melezitose","Methyl-?-D-glucoside"
"Melezitose","Soluble Starch"
"Melezitose","Cellobiose"
"Melezitose","Salicin"
"Melezitose","L-Sorbose"
"Melezitose","L-Rhamnose"
"Melezitose","D-Xylose"
"Melezitose","L-Arabinose"
"Melezitose","D-Arabinose"
"Melezitose","D-Ribose"
"Melezitose","Ethanol"
"Melezitose","Glycerol"
"Melezitose","Erythritol"
"Melezitose","Ribitol"
"Melezitose","D-Mannitol"
"Melezitose","D-Glucitol"
"Melezitose","Succinate"
"Melezitose","Citrate"
"Melezitose","D-Gluconate"
"Melezitose","D-Glucosamine"
"Melezitose","2-Keto-D-gluconate"
"Methyl-?-D-glucoside","Glucose_F"
"Methyl-?-D-glucoside","Galactose_F"
"Methyl-?-D-glucoside","Sucrose_F"
"Methyl-?-D-glucoside","Maltose_F"
"Methyl-?-D-glucoside","Raffinose_F"
"Methyl-?-D-glucoside","Trehalose_F"
"Methyl-?-D-glucoside","Inulin"
"Methyl-?-D-glucoside","Sucrose"
"Methyl-?-D-glucoside","Raffinose"
"Methyl-?-D-glucoside","Melibiose"
"Methyl-?-D-glucoside","Galactose"
"Methyl-?-D-glucoside","Lactose"
"Methyl-?-D-glucoside","Trehalose"
"Methyl-?-D-glucoside","Maltose"
"Methyl-?-D-glucoside","Melezitose"
"Methyl-?-D-glucoside","Methyl-?-D-glucoside"
"Methyl-?-D-glucoside","Soluble Starch"
"Methyl-?-D-glucoside","Cellobiose"
"Methyl-?-D-glucoside","Salicin"
"Methyl-?-D-glucoside","L-Sorbose"
"Methyl-?-D-glucoside","L-Rhamnose"
"Methyl-?-D-glucoside","D-Xylose"
"Methyl-?-D-glucoside","L-Arabinose"
"Methyl-?-D-glucoside","D-Arabinose"
"Methyl-?-D-glucoside","D-Ribose"
"Methyl-?-D-glucoside","Ethanol"
"Methyl-?-D-glucoside","Glycerol"
"Methyl-?-D-glucoside","Erythritol"
"Methyl-?-D-glucoside","Ribitol"
"Methyl-?-D-glucoside","Galactitol"
"Methyl-?-D-glucoside","D-Mannitol"
"Methyl-?-D-glucoside","D-Glucitol"
"Methyl-?-D-glucoside","myo-Inositol"
"Methyl-?-D-glucoside","Succinate"
"Methyl-?-D-glucoside","Citrate"
"Methyl-?-D-glucoside","D-Gluconate"
"Methyl-?-D-glucoside","D-Glucosamine"
"Methyl-?-D-glucoside","2-Keto-D-gluconate"
"Methyl-?-D-glucoside","Growth at 25°C"
"Methyl-?-D-glucoside","Growth at 30°C"
"Soluble Starch","Maltose_F"
"Soluble Starch","Inulin"
"Soluble Starch","Sucrose"
"Soluble Starch","Raffinose"
"Soluble Starch","Melibiose"
"Soluble Starch","Lactose"
"Soluble Starch","Trehalose"
"Soluble Starch","Maltose"
"Soluble Starch","Melezitose"
"Soluble Starch","Methyl-?-D-glucoside"
"Soluble Starch","Soluble Starch"
"Soluble Starch","Cellobiose"
"Soluble Starch","Salicin"
"Soluble Starch","L-Rhamnose"
"Soluble Starch","D-Xylose"
"Soluble Starch","L-Arabinose"
"Soluble Starch","D-Arabinose"
"Soluble Starch","D-Ribose"
"Soluble Starch","Glycerol"
"Soluble Starch","Erythritol"
"Soluble Starch","Ribitol"
"Soluble Starch","Galactitol"
"Soluble Starch","D-Mannitol"
"Soluble Starch","D-Glucitol"
"Soluble Starch","myo-Inositol"
"Soluble Starch","Succinate"
"Soluble Starch","Citrate"
"Soluble Starch","D-Gluconate"
"Soluble Starch","D-Glucosamine"
"Soluble Starch","Nitrate"
"Soluble Starch","Vitamin-free"
"Soluble Starch","2-Keto-D-gluconate"
"Soluble Starch","Starch formation"
"Cellobiose","Glucose_F"
"Cellobiose","Galactose_F"
"Cellobiose","Trehalose_F"
"Cellobiose","Inulin"
"Cellobiose","Sucrose"
"Cellobiose","Raffinose"
"Cellobiose","Melibiose"
"Cellobiose","Galactose"
"Cellobiose","Lactose"
"Cellobiose","Trehalose"
"Cellobiose","Maltose"
"Cellobiose","Melezitose"
"Cellobiose","Methyl-?-D-glucoside"
"Cellobiose","Soluble Starch"
"Cellobiose","Cellobiose"
"Cellobiose","Salicin"
"Cellobiose","L-Sorbose"
"Cellobiose","L-Rhamnose"
"Cellobiose","D-Xylose"
"Cellobiose","L-Arabinose"
"Cellobiose","D-Arabinose"
"Cellobiose","D-Ribose"
"Cellobiose","Ethanol"
"Cellobiose","Glycerol"
"Cellobiose","Erythritol"
"Cellobiose","Ribitol"
"Cellobiose","Galactitol"
"Cellobiose","D-Mannitol"
"Cellobiose","D-Glucitol"
"Cellobiose","myo-Inositol"
"Cellobiose","Succinate"
"Cellobiose","Citrate"
"Cellobiose","D-Gluconate"
"Cellobiose","D-Glucosamine"
"Cellobiose","Nitrate"
"Cellobiose","2-Keto-D-gluconate"
"Cellobiose","Starch formation"
"Salicin","Glucose_F"
"Salicin","Galactose_F"
"Salicin","Trehalose_F"
"Salicin","Sucrose"
"Salicin","Raffinose"
"Salicin","Melibiose"
"Salicin","Galactose"
"Salicin","Lactose"
"Salicin","Trehalose"
"Salicin","Maltose"
"Salicin","Melezitose"
"Salicin","Methyl-?-D-glucoside"
"Salicin","Soluble Starch"
"Salicin","Cellobiose"
"Salicin","Salicin"
"Salicin","L-Sorbose"
"Salicin","L-Rhamnose"
"Salicin","D-Xylose"
"Salicin","L-Arabinose"
"Salicin","D-Arabinose"
"Salicin","D-Ribose"
"Salicin","Ethanol"
"Salicin","Glycerol"
"Salicin","Erythritol"
"Salicin","Ribitol"
"Salicin","Galactitol"
"Salicin","D-Mannitol"
"Salicin","D-Glucitol"
"Salicin","myo-Inositol"
"Salicin","Succinate"
"Salicin","Citrate"
"Salicin","D-Gluconate"
"Salicin","D-Glucosamine"
"Salicin","Nitrate"
"Salicin","2-Keto-D-gluconate"
"L-Sorbose","Trehalose_F"
"L-Sorbose","Sucrose"
"L-Sorbose","Melibiose"
"L-Sorbose","Galactose"
"L-Sorbose","Lactose"
"L-Sorbose","Trehalose"
"L-Sorbose","Maltose"
"L-Sorbose","Melezitose"
"L-Sorbose","Methyl-?-D-glucoside"
"L-Sorbose","Cellobiose"
"L-Sorbose","Salicin"
"L-Sorbose","L-Sorbose"
"L-Sorbose","D-Xylose"
"L-Sorbose","L-Arabinose"
"L-Sorbose","D-Arabinose"
"L-Sorbose","D-Ribose"
"L-Sorbose","Ethanol"
"L-Sorbose","Glycerol"
"L-Sorbose","Erythritol"
"L-Sorbose","Ribitol"
"L-Sorbose","Galactitol"
"L-Sorbose","D-Mannitol"
"L-Sorbose","D-Glucitol"
"L-Sorbose","myo-Inositol"
"L-Sorbose","Succinate"
"L-Sorbose","Citrate"
"L-Sorbose","D-Gluconate"
"L-Sorbose","D-Glucosamine"
"L-Sorbose","2-Keto-D-gluconate"
"L-Sorbose","Growth at 25°C"
"L-Rhamnose","Trehalose_F"
"L-Rhamnose","Sucrose"
"L-Rhamnose","Melibiose"
"L-Rhamnose","Lactose"
"L-Rhamnose","Trehalose"
"L-Rhamnose","Maltose"
"L-Rhamnose","Melezitose"
"L-Rhamnose","Methyl-?-D-glucoside"
"L-Rhamnose","Soluble Starch"
"L-Rhamnose","Cellobiose"
"L-Rhamnose","Salicin"
"L-Rhamnose","L-Rhamnose"
"L-Rhamnose","D-Xylose"
"L-Rhamnose","L-Arabinose"
"L-Rhamnose","D-Arabinose"
"L-Rhamnose","D-Ribose"
"L-Rhamnose","Methanol"
"L-Rhamnose","Ethanol"
"L-Rhamnose","Glycerol"
"L-Rhamnose","Erythritol"
"L-Rhamnose","Ribitol"
"L-Rhamnose","Galactitol"
"L-Rhamnose","D-Mannitol"
"L-Rhamnose","D-Glucitol"
"L-Rhamnose","myo-Inositol"
"L-Rhamnose","DL-Lactate"
"L-Rhamnose","Succinate"
"L-Rhamnose","Citrate"
"L-Rhamnose","D-Gluconate"
"L-Rhamnose","D-Glucosamine"
"L-Rhamnose","Nitrate"
"L-Rhamnose","Growth at 30°C"
"L-Rhamnose","Growth at 37°C"
"D-Xylose","Galactose_F"
"D-Xylose","Trehalose_F"
"D-Xylose","Sucrose"
"D-Xylose","Melibiose"
"D-Xylose","Galactose"
"D-Xylose","Lactose"
"D-Xylose","Trehalose"
"D-Xylose","Maltose"
"D-Xylose","Melezitose"
"D-Xylose","Methyl-?-D-glucoside"
"D-Xylose","Soluble Starch"
"D-Xylose","Cellobiose"
"D-Xylose","Salicin"
"D-Xylose","L-Sorbose"
"D-Xylose","L-Rhamnose"
"D-Xylose","D-Xylose"
"D-Xylose","L-Arabinose"
"D-Xylose","D-Arabinose"
"D-Xylose","D-Ribose"
"D-Xylose","Methanol"
"D-Xylose","Ethanol"
"D-Xylose","Glycerol"
"D-Xylose","Erythritol"
"D-Xylose","Ribitol"
"D-Xylose","Galactitol"
"D-Xylose","D-Mannitol"
"D-Xylose","D-Glucitol"
"D-Xylose","myo-Inositol"
"D-Xylose","Succinate"
"D-Xylose","Citrate"
"D-Xylose","D-Gluconate"
"D-Xylose","D-Glucosamine"
"D-Xylose","Nitrate"
"D-Xylose","2-Keto-D-gluconate"
"D-Xylose","Starch formation"
"L-Arabinose","Galactose_F"
"L-Arabinose","Maltose_F"
"L-Arabinose","Trehalose_F"
"L-Arabinose","Inulin"
"L-Arabinose","Sucrose"
"L-Arabinose","Raffinose"
"L-Arabinose","Melibiose"
"L-Arabinose","Galactose"
"L-Arabinose","Lactose"
"L-Arabinose","Trehalose"
"L-Arabinose","Maltose"
"L-Arabinose","Melezitose"
"L-Arabinose","Methyl-?-D-glucoside"
"L-Arabinose","Soluble Starch"
"L-Arabinose","Cellobiose"
"L-Arabinose","Salicin"
"L-Arabinose","L-Sorbose"
"L-Arabinose","L-Rhamnose"
"L-Arabinose","D-Xylose"
"L-Arabinose","L-Arabinose"
"L-Arabinose","D-Arabinose"
"L-Arabinose","D-Ribose"
"L-Arabinose","Methanol"
"L-Arabinose","Ethanol"
"L-Arabinose","Glycerol"
"L-Arabinose","Erythritol"
"L-Arabinose","Ribitol"
"L-Arabinose","Galactitol"
"L-Arabinose","D-Mannitol"
"L-Arabinose","D-Glucitol"
"L-Arabinose","myo-Inositol"
"L-Arabinose","Succinate"
"L-Arabinose","Citrate"
"L-Arabinose","D-Gluconate"
"L-Arabinose","D-Glucosamine"
"L-Arabinose","2-Keto-D-gluconate"
"L-Arabinose","Starch formation"
"L-Arabinose","Growth at 37°C"
"D-Arabinose","Galactose_F"
"D-Arabinose","Trehalose_F"
"D-Arabinose","Inulin"
"D-Arabinose","Sucrose"
"D-Arabinose","Raffinose"
"D-Arabinose","Melibiose"
"D-Arabinose","Galactose"
"D-Arabinose","Lactose"
"D-Arabinose","Trehalose"
"D-Arabinose","Maltose"
"D-Arabinose","Melezitose"
"D-Arabinose","Methyl-?-D-glucoside"
"D-Arabinose","Soluble Starch"
"D-Arabinose","Cellobiose"
"D-Arabinose","Salicin"
"D-Arabinose","L-Sorbose"
"D-Arabinose","L-Rhamnose"
"D-Arabinose","D-Xylose"
"D-Arabinose","L-Arabinose"
"D-Arabinose","D-Arabinose"
"D-Arabinose","D-Ribose"
"D-Arabinose","Methanol"
"D-Arabinose","Ethanol"
"D-Arabinose","Glycerol"
"D-Arabinose","Erythritol"
"D-Arabinose","Ribitol"
"D-Arabinose","Galactitol"
"D-Arabinose","D-Mannitol"
"D-Arabinose","D-Glucitol"
"D-Arabinose","myo-Inositol"
"D-Arabinose","Succinate"
"D-Arabinose","Citrate"
"D-Arabinose","D-Gluconate"
"D-Arabinose","D-Glucosamine"
"D-Arabinose","Nitrate"
"D-Arabinose","2-Keto-D-gluconate"
"D-Arabinose","Starch formation"
"D-Ribose","Glucose_F"
"D-Ribose","Galactose_F"
"D-Ribose","Maltose_F"
"D-Ribose","Trehalose_F"
"D-Ribose","Sucrose"
"D-Ribose","Melibiose"
"D-Ribose","Galactose"
"D-Ribose","Lactose"
"D-Ribose","Trehalose"
"D-Ribose","Maltose"
"D-Ribose","Melezitose"
"D-Ribose","Methyl-?-D-glucoside"
"D-Ribose","Soluble Starch"
"D-Ribose","Cellobiose"
"D-Ribose","Salicin"
"D-Ribose","L-Sorbose"
"D-Ribose","L-Rhamnose"
"D-Ribose","D-Xylose"
"D-Ribose","L-Arabinose"
"D-Ribose","D-Arabinose"
"D-Ribose","D-Ribose"
"D-Ribose","Methanol"
"D-Ribose","Ethanol"
"D-Ribose","Glycerol"
"D-Ribose","Erythritol"
"D-Ribose","Ribitol"
"D-Ribose","Galactitol"
"D-Ribose","D-Mannitol"
"D-Ribose","D-Glucitol"
"D-Ribose","myo-Inositol"
"D-Ribose","Succinate"
"D-Ribose","Citrate"
"D-Ribose","D-Gluconate"
"D-Ribose","D-Glucosamine"
"D-Ribose","Nitrate"
"D-Ribose","2-Keto-D-gluconate"
"D-Ribose","Growth at 25°C"
"Methanol","Trehalose"
"Methanol","L-Rhamnose"
"Methanol","D-Xylose"
"Methanol","L-Arabinose"
"Methanol","D-Arabinose"
"Methanol","D-Ribose"
"Methanol","Methanol"
"Methanol","Ethanol"
"Methanol","Glycerol"
"Methanol","Erythritol"
"Methanol","Ribitol"
"Methanol","D-Mannitol"
"Methanol","D-Glucitol"
"Methanol","Nitrate"
"Methanol","Growth at 37°C"
"Ethanol","Maltose_F"
"Ethanol","Trehalose_F"
"Ethanol","Melibiose"
"Ethanol","Galactose"
"Ethanol","Lactose"
"Ethanol","Trehalose"
"Ethanol","Maltose"
"Ethanol","Melezitose"
"Ethanol","Methyl-?-D-glucoside"
"Ethanol","Cellobiose"
"Ethanol","Salicin"
"Ethanol","L-Sorbose"
"Ethanol","L-Rhamnose"
"Ethanol","D-Xylose"
"Ethanol","L-Arabinose"
"Ethanol","D-Arabinose"
"Ethanol","D-Ribose"
"Ethanol","Methanol"
"Ethanol","Ethanol"
"Ethanol","Glycerol"
"Ethanol","Erythritol"
"Ethanol","Ribitol"
"Ethanol","Galactitol"
"Ethanol","D-Mannitol"
"Ethanol","D-Glucitol"
"Ethanol","myo-Inositol"
"Ethanol","DL-Lactate"
"Ethanol","Succinate"
"Ethanol","Citrate"
"Ethanol","D-Gluconate"
"Ethanol","D-Glucosamine"
"Ethanol","2-Keto-D-gluconate"
